
=== Imprimindo Tabela ===
[209] - Lista vazia!	 Numero de repeticoes: [0]
[210] - Lista vazia!	 Numero de repeticoes: [0]
[211] - Lista vazia!	 Numero de repeticoes: [0]
[212] - Lista vazia!	 Numero de repeticoes: [0]
[213] - Lista vazia!	 Numero de repeticoes: [0]
[214] - Lista vazia!	 Numero de repeticoes: [0]
[215] - Lista vazia!	 Numero de repeticoes: [0]
[216] - Lista vazia!	 Numero de repeticoes: [0]
[217] - Lista vazia!	 Numero de repeticoes: [0]
[218] - Lista vazia!	 Numero de repeticoes: [0]
[219] - Lista vazia!	 Numero de repeticoes: [0]
[220] - Lista vazia!	 Numero de repeticoes: [0]
[221] - Lista vazia!	 Numero de repeticoes: [0]
[222] - Lista vazia!	 Numero de repeticoes: [0]
[223] - Lista vazia!	 Numero de repeticoes: [0]
[224] - Lista vazia!	 Numero de repeticoes: [0]
[225] - Lista vazia!	 Numero de repeticoes: [0]
[226] - Lista vazia!	 Numero de repeticoes: [0]
[227] - Lista vazia!	 Numero de repeticoes: [0]
[228] - Lista vazia!	 Numero de repeticoes: [0]
[229] - Lista vazia!	 Numero de repeticoes: [0]
[230] - Lista vazia!	 Numero de repeticoes: [0]
[231] - Lista vazia!	 Numero de repeticoes: [0]
[232] - Lista vazia!	 Numero de repeticoes: [0]
[233] - Lista vazia!	 Numero de repeticoes: [0]
[234] - Lista vazia!	 Numero de repeticoes: [0]
[235] - Lista vazia!	 Numero de repeticoes: [0]
[236] - Lista vazia!	 Numero de repeticoes: [0]
[237] - Lista vazia!	 Numero de repeticoes: [0]
[238] - Lista vazia!	 Numero de repeticoes: [0]
[239] - Lista vazia!	 Numero de repeticoes: [0]
[240] - Lista vazia!	 Numero de repeticoes: [0]
[241] - Lista vazia!	 Numero de repeticoes: [0]
[242] - Lista vazia!	 Numero de repeticoes: [0]
[243] - Lista vazia!	 Numero de repeticoes: [0]
[244] - Lista vazia!	 Numero de repeticoes: [0]
[245] - Lista vazia!	 Numero de repeticoes: [0]
[246] - Lista vazia!	 Numero de repeticoes: [0]
[247] - Lista vazia!	 Numero de repeticoes: [0]
[248] - Lista vazia!	 Numero de repeticoes: [0]
[249] - Lista vazia!	 Numero de repeticoes: [0]
[250] - Lista vazia!	 Numero de repeticoes: [0]
[251] - Lista vazia!	 Numero de repeticoes: [0]
[252] - Lista vazia!	 Numero de repeticoes: [0]
[253] - Lista vazia!	 Numero de repeticoes: [0]
[254] - Lista vazia!	 Numero de repeticoes: [0]
[255] - Lista vazia!	 Numero de repeticoes: [0]
[256] - Lista vazia!	 Numero de repeticoes: [0]
[257] - Lista vazia!	 Numero de repeticoes: [0]
[258] - Lista vazia!	 Numero de repeticoes: [0]
[259] - Lista vazia!	 Numero de repeticoes: [0]
[260] - Lista vazia!	 Numero de repeticoes: [0]
[261] - Lista vazia!	 Numero de repeticoes: [0]
[262] - Lista vazia!	 Numero de repeticoes: [0]
[263] - Lista vazia!	 Numero de repeticoes: [0]
[264] - Lista vazia!	 Numero de repeticoes: [0]
[265] - Lista vazia!	 Numero de repeticoes: [0]
[266] - Lista vazia!	 Numero de repeticoes: [0]
[267] - Lista vazia!	 Numero de repeticoes: [0]
[268] - Lista vazia!	 Numero de repeticoes: [0]
[269] - Lista vazia!	 Numero de repeticoes: [0]
[270] - Lista vazia!	 Numero de repeticoes: [0]
[271] - Lista vazia!	 Numero de repeticoes: [0]
[272] - Lista vazia!	 Numero de repeticoes: [0]
[273] - Lista vazia!	 Numero de repeticoes: [0]
[274] - Lista vazia!	 Numero de repeticoes: [0]
[275] - Lista vazia!	 Numero de repeticoes: [0]
[276] - Lista vazia!	 Numero de repeticoes: [0]
[277] - Lista vazia!	 Numero de repeticoes: [0]
[278] - Lista vazia!	 Numero de repeticoes: [0]
[279] - Lista vazia!	 Numero de repeticoes: [0]
[280] - Lista vazia!	 Numero de repeticoes: [0]
[281] - several 	 Numero de repeticoes: [1]
[282] - Lista vazia!	 Numero de repeticoes: [0]
[283] - Lista vazia!	 Numero de repeticoes: [0]
[284] - Lista vazia!	 Numero de repeticoes: [0]
[285] - Lista vazia!	 Numero de repeticoes: [0]
[286] - Lista vazia!	 Numero de repeticoes: [0]
[287] - Lista vazia!	 Numero de repeticoes: [0]
[288] - Lista vazia!	 Numero de repeticoes: [0]
[289] - Lista vazia!	 Numero de repeticoes: [0]
[290] - Lista vazia!	 Numero de repeticoes: [0]
[291] - Lista vazia!	 Numero de repeticoes: [0]
[292] - Lista vazia!	 Numero de repeticoes: [0]
[293] - Lista vazia!	 Numero de repeticoes: [0]
[294] - Lista vazia!	 Numero de repeticoes: [0]
[295] - Lista vazia!	 Numero de repeticoes: [0]
[296] - Lista vazia!	 Numero de repeticoes: [0]
[297] - Lista vazia!	 Numero de repeticoes: [0]
[298] - Lista vazia!	 Numero de repeticoes: [0]
[299] - Lista vazia!	 Numero de repeticoes: [0]
[300] - Lista vazia!	 Numero de repeticoes: [0]
[301] - Lista vazia!	 Numero de repeticoes: [0]
[302] - Lista vazia!	 Numero de repeticoes: [0]
[303] - Lista vazia!	 Numero de repeticoes: [0]
[304] - Lista vazia!	 Numero de repeticoes: [0]
[305] - Lista vazia!	 Numero de repeticoes: [0]
[306] - Lista vazia!	 Numero de repeticoes: [0]
[307] - Lista vazia!	 Numero de repeticoes: [0]
[308] - Lista vazia!	 Numero de repeticoes: [0]
[309] - Lista vazia!	 Numero de repeticoes: [0]
[310] - Lista vazia!	 Numero de repeticoes: [0]
[311] - Lista vazia!	 Numero de repeticoes: [0]
[312] - Lista vazia!	 Numero de repeticoes: [0]
[313] - Lista vazia!	 Numero de repeticoes: [0]
[314] - Lista vazia!	 Numero de repeticoes: [0]
[315] - Lista vazia!	 Numero de repeticoes: [0]
[316] - Lista vazia!	 Numero de repeticoes: [0]
[317] - Lista vazia!	 Numero de repeticoes: [0]
[318] - Lista vazia!	 Numero de repeticoes: [0]
[319] - Lista vazia!	 Numero de repeticoes: [0]
[320] - Lista vazia!	 Numero de repeticoes: [0]
[321] - Lista vazia!	 Numero de repeticoes: [0]
